"%1 days","%1 days"
"%1 day","%1 day"
"Display label Landing page in footer link in frontend.","Display label Landing page in footer link in frontend."
"Highlight Point on Storefront","Highlight Point on Storefront"
"Show In Cart","Show In Cart"
"Show On Checkout Page","Show On Checkout Page"
"Text Color","Text Color"
"Earning Configuration","Earning Configuration"
"Rounding Method","Rounding Method"
"E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points.","E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points."
"Earn Points from Tax","Earn Points from Tax"
"Select Yes to allow earning points from tax","Select Yes to allow earning points from tax"
"Earn Points from Shipping Fee","Earn Points from Shipping Fee"
"Select Yes to allow earning points from shipping fee","Select Yes to allow earning points from shipping fee"
"Point Refund","Point Refund"
"Select Yes to allow getting points back from customer if an order is refunded","Select Yes to allow getting points back from customer if an order is refunded"
"Sales Earning Process","Sales Earning Process"
"Earning Points after Invoice Created","Earning Points after Invoice Created"
"If No is set, customer will get points only when the order is completed","If No is set, customer will get points only when the order is completed"
"Points Expired After","Points Expired After"
"Day(s) since the transaction date. If empty or 0, there is no expiration.","Day(s) since the transaction date. If empty or 0, there is no expiration."
"Earning Points from Orders with Spent Points","Earning Points from Orders with Spent Points"
"If No, when a customer spends reward points on an order, they will not earn any points from this order.","If No, when a customer spends reward points on an order, they will not earn any points from this order."
"Notify reward points for guests","Notify reward points for guests"
"Reward points messages shown to customers even if they have not registered or logged in to their accounts.","Reward points messages shown to customers even if they have not registered or logged in to their accounts."
Message,Message
"Notification will be shown to customers who are not registered or logged in to their account about bonus points when they place an order.","Notification will be shown to customers who are not registered or logged in to their account about bonus points when they place an order."
"Type of Maximum Earning Points per Order","Type of Maximum Earning Points per Order"
"Maximum Earning Points per Order","Maximum Earning Points per Order"
"Enter the maximum points earned at once. If empty or 0, there is no limitation.","Enter the maximum points earned at once. If empty or 0, there is no limitation."
"Spending Configuration","Spending Configuration"
"Minimum Balance to Spend Points","Minimum Balance to Spend Points"
"Enter the minimum points in balance that a customer has to earn before spending. If empty or 0, there is no limitation.","Enter the minimum points in balance that a customer has to earn before spending. If empty or 0, there is no limitation."
"Discount Label","Discount Label"
"It will be displayed in Shopping cart, Checkout page, Order view and Emails","It will be displayed in Shopping cart, Checkout page, Order view and Emails"
"Type Maximum Spending Points per Order","Type Maximum Spending Points per Order"
"Maximum Spending Points per Order","Maximum Spending Points per Order"
"Enter the maximum points spent at once. If empty or 0, there is no limitation","Enter the maximum points spent at once. If empty or 0, there is no limitation"
"Spending Points on Tax","Spending Points on Tax"
"Select Yes to allow spending points on tax","Select Yes to allow spending points on tax"
"Spending Points on Shipping Fee","Spending Points on Shipping Fee"
"Select Yes to allow spending points on Shipping fee/Shipping tax","Select Yes to allow spending points on Shipping fee/Shipping tax"
"Restore Spent Points after Order Refunding","Restore Spent Points after Order Refunding"
"If Yes is set, when an order is refunded, customer will get the points spent back.","If Yes is set, when an order is refunded, customer will get the points spent back."
"Use Max Points by Default","Use Max Points by Default"
"If Yes, ""Use Max Points"" checkbox will be checked by default","If Yes, ""Use Max Points"" checkbox will be checked by default"
"Display Configuration","Display Configuration"
"Display Total Points on Top Links","Display Total Points on Top Links"
"Hide Total Points on Top Link if the Reward Points balance is empty or equals to zero","Hide Total Points on Top Link if the Reward Points balance is empty or equals to zero"
"If Yes, will hide the total points of the customer on Top Links if the Reward Points balance is null or equals to zero.","If Yes, will hide the total points of the customer on Top Links if the Reward Points balance is null or equals to zero."
"Display Earning Points on Minicart","Display Earning Points on Minicart"
"Email Configuration","Email Configuration"
"Enable Email Notification","Enable Email Notification"
"Select Yes to enable notification email.","Select Yes to enable notification email."
"Subscribe Customers by Default","Subscribe Customers by Default"
"Sender Email","Sender Email"
"Select a sender email for notification emails.","Select a sender email for notification emails."
"Update Point Balance Email","Update Point Balance Email"
Enabled,Enabled
"Update Balance Template","Update Balance Template"
"Select an email template used to send customers when their point balance is updated.","Select an email template used to send customers when their point balance is updated."
"Points Expiration Email","Points Expiration Email"
"Send Before","Send Before"
"Day(s). If empty or zero, no reminder email is sent.","Day(s). If empty or zero, no reminder email is sent."
"Points Expiration Template","Points Expiration Template"
"Select an email template used to send customers before a transaction expires.","Select an email template used to send customers before a transaction expires."
"Point Balance","Point Balance"
"Reward Active","Reward Active"
"Add Rate","Add Rate"
"Money spent","Money spent"
"Earning Point(s)","Earning Point(s)"
Edit,Edit
"Spending Point(s)","Spending Point(s)"
"Discount received","Discount received"
"Add Transaction","Add Transaction"
CSV,CSV
"Are you sure to cancel selected items?","Are you sure to cancel selected items?"
"Are you sure to expire selected items?","Are you sure to expire selected items?"
"Created Date","Created Date"
View,View
"Reward Earn","Reward Earn"
"Reward Spent","Reward Spent"
"Reward Dashboard","Reward Dashboard"
Back,Back
